Rk,Player,Tm,2018-19
243,Frank Kaminsky,CHO,"$3,627,842 "
244,Mikal Bridges,PHO,"$3,552,960 "
245,Mirza Teletovic,MIL,"$3,500,000 "
246,Michael Beasley,LAC,"$3,500,000 "
247,Jamal Murray,DEN,"$3,499,800 "
248,Rodney Hood,POR,"$3,472,887 "
249,Jodie Meeks,MIL,"$3,454,500 "
250,Justise Winslow,MIA,"$3,448,926 "
251,Malik Monk,CHO,"$3,447,480 "
252,Myles Turner,IND,"$3,410,284 "
253,Allonzo Trier,NYK,"$3,382,000 "
254,Brook Lopez,MIL,"$3,382,000 "
255,Shai Gilgeous-Alexander,LAC,"$3,375,360 "
256,Trey Lyles,DEN,"$3,364,249 "
257,Ekpe Udoh,UTA,"$3,360,000 "
258,Devin Booker,PHO,"$3,314,365 "
259,Luke Kennard,DET,"$3,275,280 "
260,Cameron Payne,CHI,"$3,263,295 "
261,Troy Daniels,PHO,"$3,258,539 "
262,Kelly Oubre,PHO,"$3,208,630 "
263,Miles Bridges,CHO,"$3,206,640 "
264,Marquese Chriss,CLE,"$3,206,160 "
265,Tomas Satoransky,WAS,"$3,129,187 "
266,Bryn Forbes,SAS,"$3,125,000 "
267,Donovan Mitchell,UTA,"$3,111,480 "
268,Terry Rozier,BOS,"$3,050,390 "
269,Jerome Robinson,LAC,"$3,046,200 "
270,Yogi Ferrell,SAC,"$3,000,000 "
271,Elfrid Payton,NOP,"$3,000,000 "
272,Bam Adebayo,MIA,"$2,955,840 "
273,Jakob Poeltl,SAS,"$2,947,320 "
274,Michael Porter,DEN,"$2,894,160 "
275,Andrew Nicholson,POR,"$2,844,429 "
276,Justin Jackson,DAL,"$2,807,880 "
277,Thon Maker,DET,"$2,799,720 "
278,Seth Curry,POR,"$2,795,000 "
279,Cedi Osman,CLE,"$2,775,000 "
280,Sam Dekker,WAS,"$2,760,095 "
281,Troy Brown,WAS,"$2,749,080 "
282,Guerschon Yabusele,BOS,"$2,667,600 "
283,Justin Patton,PHI,"$2,667,600 "
284,Domantas Sabonis,IND,"$2,659,800 "
285,Jerian Grant,ORL,"$2,639,314 "
286,Zhaire Smith,PHI,"$2,611,800 "
287,Delon Wright,MEM,"$2,536,898 "
288,D.J. Wilson,MIL,"$2,534,280 "
289,Dario Saric,MIN,"$2,526,840 "
290,Taurean Waller-Prince,ATL,"$2,526,840 "
291,Justin Anderson,ATL,"$2,516,048 "
292,Manu Ginobili,SAS,"$2,500,000 "
293,Dante Cunningham,SAS,"$2,500,000 "
294,Reggie Bullock,LAL,"$2,500,000 "
295,Bobby Portis,WAS,"$2,494,346 "
296,Donte DiVincenzo,MIL,"$2,481,000 "
297,Rondae Hollis-Jefferson,BRK,"$2,470,357 "
298,Tyus Jones,MIN,"$2,444,053 "
299,Jarell Martin,ORL,"$2,416,222 "
300,T.J. Leaf,IND,"$2,407,560 "
301,Jeff Green,WAS,"$2,393,887 "
302,Amir Johnson,PHI,"$2,393,887 "
303,Raymond Felton,OKC,"$2,393,887 "
304,Luol Deng,MIN,"$2,393,887 "
305,Dwyane Wade,MIA,"$2,393,887 "
306,Udonis Haslem,MIA,"$2,393,887 "
307,JaVale McGee,LAL,"$2,393,887 "
308,Gerald Green,HOU,"$2,393,887 "
309,Andrew Bogut,GSW,"$2,393,887 "
310,Jose Calderon,DET,"$2,393,887 "
311,Zaza Pachulia,DET,"$2,393,887 "
312,Devin Harris,DAL,"$2,393,887 "
313,Channing Frye,CLE,"$2,393,887 "
314,Carmelo Anthony,CHI,"$2,393,887 "
315,Vince Carter,ATL,"$2,393,887 "
316,Jamal Crawford,PHO,"$2,393,887 "
317,Tyson Chandler,LAL,"$2,393,887 "
318,Wayne Ellington,DET,"$2,383,076 "
319,Lonnie Walker,SAS,"$2,357,160 "
320,Jamal Crawford,ATL,"$2,304,226 "
321,John Collins,ATL,"$2,299,080 "
322,Denzel Valentine,CHI,"$2,280,600 "
323,Larry Nance,CLE,"$2,272,391 "
324,Kevin Huerter,ATL,"$2,250,960 "
325,Monta Ellis,IND,"$2,245,400 "
326,Harry Giles,SAC,"$2,207,040 "
327,Darius Miller,NOP,"$2,205,000 "
328,Derrick Rose,MIN,"$2,176,260 "
329,Omri Casspi,MEM,"$2,176,260 "
330,Juan Hernangomez,DEN,"$2,166,360 "
331,Quincy Pondexter,SAS,"$2,165,481 "
332,Jonas Jerebko,GSW,"$2,165,481 "
333,Greg Monroe,BRK,"$2,165,481 "
334,Josh Okogie,MIN,"$2,160,720 "
335,Raul Neto,UTA,"$2,150,000 "
336,Matt Barnes,SAC,"$2,133,542 "
337,Terrance Ferguson,OKC,"$2,118,840 "
338,Grayson Allen,UTA,"$2,074,320 "
339,Jarrett Allen,BRK,"$2,034,120 "
340,Isaiah Thomas,DEN,"$2,029,463 "
341,Shelvin Mack,CHO,"$2,029,463 "
342,Spencer Hawes,MIL,"$2,007,058 "
343,Georgios Papagiannis,SAC,"$2,000,400 "
344,Torrey Craig,DEN,"$2,000,000 "
345,Corey Brewer,SAC,"$2,000,000 "
346,Chandler Hutchison,CHI,"$1,991,520 "
347,OG Anunoby,TOR,"$1,952,760 "
348,Ante Zizic,CLE,"$1,952,760 "
349,Shabazz Napier,BRK,"$1,942,422 "
350,Anderson Varejao,POR,"$1,913,345 "
351,Aaron Holiday,IND,"$1,911,960 "
352,Tim Duncan,SAS,"$1,881,250 "
353,Tyler Lydon,DEN,"$1,874,640 "
354,Larry Sanders,MIL,"$1,865,547 "
355,Henry Ellenson,DET,"$1,857,480 "
356,Anfernee Simons,POR,"$1,835,520 "
357,Trey Burke,DAL,"$1,795,015 "
358,Malik Beasley,DEN,"$1,773,840 "
359,Moritz Wagner,LAL,"$1,762,080 "
360,Nerlens Noel,OKC,"$1,757,429 "
361,Ian Clark,NOP,"$1,757,429 "
362,Caleb Swanigan,SAC,"$1,740,000 "
363,Furkan Korkmaz,PHI,"$1,740,000 "
364,Joakim Noah,MEM,"$1,731,173 "
365,Landry Shamet,LAC,"$1,703,640 "
366,Caris LeVert,BRK,"$1,702,800 "
367,Jonah Bolden,PHI,"$1,690,000 "
368,Kyle Kuzma,LAL,"$1,689,840 "
369,Tony Bradley,UTA,"$1,679,520 "
370,Derrick White,SAS,"$1,667,160 "
371,Spencer Dinwiddie,BRK,"$1,656,092 "
372,MarShon Brooks,CHI,"$1,656,092 "
373,Josh Hart,LAL,"$1,655,160 "
374,Robert Williams,BOS,"$1,654,440 "
375,Jacob Evans,GSW,"$1,644,240 "
376,Pat Connaughton,MIL,"$1,641,000 "
377,DeAndre' Bembry,ATL,"$1,634,640 "
378,Dzanan Musa,BRK,"$1,632,240 "
379,James Ennis,PHI,"$1,621,415 "
380,Noah Vonleh,NYK,"$1,621,415 "
381,Tim Frazier,NOP,"$1,621,415 "
382,Nik Stauskas,IND,"$1,621,415 "
383,Omari Spellman,ATL,"$1,620,480 "
384,Luke Kornet,NYK,"$1,619,000 "
385,Rodions Kurucs,BRK,"$1,618,320 "
386,Richaun Holmes,PHO,"$1,600,520 "
387,T.J. McConnell,PHI,"$1,600,520 "
388,Malachi Richardson,PHI,"$1,569,360 "
389,Jahlil Okafor,NOP,"$1,567,007 "
390,Kevon Looney,GSW,"$1,567,007 "
391,Salah Mejri,DAL,"$1,567,007 "
392,Pascal Siakam,TOR,"$1,544,951 "
393,Skal Labissiere,POR,"$1,544,951 "
394,Dejounte Murray,SAS,"$1,544,951 "
395,Damian Jones,GSW,"$1,544,951 "
396,Deyonta Davis,SAC,"$1,544,951 "
397,Jake Layman,POR,"$1,544,951 "
398,Cheick Diallo,NOP,"$1,544,951 "
399,Malcolm Brogdon,MIL,"$1,544,951 "
400,Rodney McGruder,MIA,"$1,544,951 "
401,Ivica Zubac,LAC,"$1,544,951 "
402,Wade Baldwin,IND,"$1,544,951 "
403,Quinn Cook,GSW,"$1,544,951 "
404,Chinanu Onuaku,DAL,"$1,544,951 "
405,Dorian Finney-Smith,DAL,"$1,544,951 "
406,Willy Hernangomez,CHO,"$1,544,951 "
407,Timothe Luwawu-Cabarrot,CHI,"$1,544,951 "
408,Wayne Selden,CHI,"$1,544,951 "
409,Georges Niang,UTA,"$1,512,601 "
410,Christian Wood,MIL,"$1,512,601 "
411,Derrick Jones,MIA,"$1,512,601 "
412,David Nwaba,CLE,"$1,512,601 "
413,Treveon Graham,BRK,"$1,512,601 "
414,Sviatoslav Mykhailiuk,DET,"$1,487,694 "
415,Mitchell Robinson,NYK,"$1,485,440 "
416,Jordan Bell,GSW,"$1,378,252 "
417,Frank Jackson,NOP,"$1,378,242 "
418,Thomas Bryant,WAS,"$1,378,242 "
419,Royce O'Neale,UTA,"$1,378,242 "
420,Frank Mason,SAC,"$1,378,242 "
421,Davon Reed,PHO,"$1,378,242 "
422,Wesley Iwundu,ORL,"$1,378,242 "
423,Khem Birch,ORL,"$1,378,242 "
424,Abdel Nader,OKC,"$1,378,242 "
425,Damyean Dotson,NYK,"$1,378,242 "
426,Sterling Brown,MIL,"$1,378,242 "
427,Rade Zagorac,MEM,"$1,378,242 "
428,Dillon Brooks,MEM,"$1,378,242 "
429,Tyler Dorsey,MEM,"$1,378,242 "
430,Ivan Rabb,MEM,"$1,378,242 "
431,Jawun Evans,LAC,"$1,378,242 "
432,Sindarius Thornwell,LAC,"$1,378,242 "
433,Ike Anigbogu,IND,"$1,378,242 "
434,Maxi Kleber,DAL,"$1,378,242 "
435,Dwayne Bacon,CHO,"$1,378,242 "
436,Semi Ojeleye,BOS,"$1,378,242 "
437,Daniel Theis,BOS,"$1,378,242 "
438,Kevin Martin,MIN,"$1,360,304 "
439,Monte Morris,DEN,"$1,349,383 "
440,Antonio Blakeney,CHI,"$1,349,383 "
441,Tyrone Wallace,LAC,"$1,349,383 "
442,Alfonzo McKinnie,GSW,"$1,349,383 "
443,Ryan Arcidiacono,CHI,"$1,349,383 "
444,Jabari Bird,ATL,"$1,349,383 "
445,Daniel Hamilton,ATL,"$1,349,383 "
446,Shaquille Harrison,CHI,"$1,311,265 "
447,Elie Okobo,PHO,"$1,238,464 "
448,Jalen Brunson,DAL,"$1,230,000 "
449,Michael Carter-Williams,CHI,"$1,200,000 "
450,Austin Rivers,HOU,"$1,155,323 "
451,Melvin Frazier,ORL,"$1,050,000 "
452,Isaac Bonga,LAL,"$1,000,000 "
453,Justin Hamilton,TOR,"$1,000,000 "
454,Shelvin Mack,ORL,"$1,000,000 "
455,Kyle Singler,OKC,"$999,200 "
456,Devonte' Graham,CHO,"$988,464 "
457,Isaiah Taylor,CLE,"$950,000 "
458,De'Anthony Melton,PHO,"$949,000 "
459,Jason Thompson,GSW,"$945,126 "
460,Kenneth Faried,HOU,"$917,272 "
461,Chasson Randle,WAS,"$869,094 "
462,Gary Trent,POR,"$838,464 "
463,Hamidou Diallo,OKC,"$838,464 "
464,Keita Bates-Diop,MIN,"$838,464 "
465,Jevon Carter,MEM,"$838,464 "
466,Bruce Brown,DET,"$838,464 "
467,Jarred Vanderbilt,DEN,"$838,464 "
468,Khyri Thomas,DET,"$838,464 "
469,Isaiah Briscoe,ORL,"$838,464 "
470,Chimezie Metu,SAS,"$838,464 "
471,Kenrich Williams,NOP,"$838,464 "
472,Alize Johnson,IND,"$838,464 "
473,Isaiah Hartenstein,HOU,"$838,464 "
474,Ray Spalding,DAL,"$838,464 "
475,Ryan Broekhoff,DAL,"$838,464 "
476,Brad Wanamaker,BOS,"$838,464 "
477,Martell Webster,WAS,"$833,333 "
478,Lorenzo Brown,TOR,"$800,000 "
479,Patrick McCaw,TOR,"$786,000 "
480,Wesley Matthews,IND,"$737,715 "
481,Jeremy Lin,TOR,"$697,000 "
482,Cole Aldrich,MIN,"$685,341 "
483,James Nunnally,MIN,"$655,632 "
484,Enes Kanter,POR,"$653,556 "
485,Carlos Delfino,LAC,"$650,000 "
486,Markieff Morris,OKC,"$573,295 "
487,Nik Stauskas,CLE,"$540,472 "
488,Pau Gasol,MIL,"$527,467 "
489,Caron Butler,SAC,"$517,219 "
490,Zhou Qi,HOU,"$506,134 "
491,Bruno Caboclo,MEM,"$487,000 "
492,Dakari Johnson,MEM,"$459,414 "
493,Chris Boucher,TOR,"$457,418 "
494,Malcolm Miller,TOR,"$457,418 "
495,Isaiah Canaan,PHO,"$456,733 "
496,Edmond Sumner,IND,"$449,794 "
